Book Title,Price,Availability,Rating,Image URL,Book Link,Category,BookTitle_Cleaned,Price_Normalized,Category_Encoded
In the Woods (Dublin Murder Squad #1),38.38,1,2,https://books.toscrape.com/media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,Mystery,In the Woods (Dublin Murder Squad #1),0.6069479810840306,26.0
The Silkworm (Cormoran Strike #2),23.05,1,5,https://books.toscrape.com/media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,Mystery,The Silkworm (Cormoran Strike #2),0.3281193161149509,26.0
The Exiled,43.45,1,3,https://books.toscrape.com/media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg,https://books.toscrape.com/catalogue/the-exiled_247/index.html,Mystery,The Exiled,0.6991633321207712,26.0
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,1,https://books.toscrape.com/media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,Mystery,The Cuckoo's Calling (Cormoran Strike #1),0.2582757366315024,26.0
Extreme Prey (Lucas Davenport #26),25.4,1,3,https://books.toscrape.com/media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,Mystery,Extreme Prey (Lucas Davenport #26),0.3708621316842488,26.0
Career of Evil (Cormoran Strike #3),24.72,1,2,https://books.toscrape.com/media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,Mystery,Career of Evil (Cormoran Strike #3),0.3584939978173881,26.0
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,1,4,https://books.toscrape.com/media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),0.9583484903601309,26.0
The Girl You Lost,12.29,1,5,https://books.toscrape.com/media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,Mystery,The Girl You Lost,0.1324117861040378,26.0
The Girl In The Ice (DCI Erika Foster #1),15.85,1,3,https://books.toscrape.com/media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,Mystery,The Girl In The Ice (DCI Erika Foster #1),0.1971626045834849,26.0
Blood Defense (Samantha Brinkman #1),20.3,1,3,https://books.toscrape.com/media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,Mystery,Blood Defense (Samantha Brinkman #1),0.2781011276827937,26.0
1st to Die (Women's Murder Club #1),53.98,1,1,https://books.toscrape.com/media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,Mystery,1st to Die (Women's Murder Club #1),0.8906875227355401,26.0
Tipping the Velvet,53.74,1,1,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Historical Fiction,Tipping the Velvet,0.8863222990178247,21.0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,1,3,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,0.44889050563841393,21.0
A Flight of Arrows (The Pathfinders #2),55.53,1,5,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Historical Fiction,A Flight of Arrows (The Pathfinders #2),0.9188795925791197,21.0
The House by the Lake,36.95,1,1,https://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,Historical Fiction,The House by the Lake,0.5809385230993089,21.0
Mrs. Houdini,30.25,1,5,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,Historical Fiction,Mrs. Houdini,0.45907602764641686,21.0
The Marriage of Opposites,28.08,1,4,https://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,Historical Fiction,The Marriage of Opposites,0.4196071298654056,21.0
Glory over Everything: Beyond The Kitchen House,45.84,1,3,https://books.toscrape.com/media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,Historical Fiction,Glory over Everything: Beyond The Kitchen House,0.7426336849763551,21.0
"Love, Lies and Spies",20.55,1,2,https://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,Historical Fiction,"Love, Lies and Spies",0.28264823572208075,21.0
A Paris Apartment,39.01,1,4,https://books.toscrape.com/media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,Historical Fiction,A Paris Apartment,0.6184066933430338,21.0
Lilac Girls,17.28,1,2,https://books.toscrape.com/media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,Historical Fiction,Lilac Girls,0.22317206256820663,21.0
The Constant Princess (The Tudor Court #1),16.62,1,3,https://books.toscrape.com/media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,Historical Fiction,The Constant Princess (The Tudor Court #1),0.21116769734448892,21.0
The Invention of Wings,37.34,1,1,https://books.toscrape.com/media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,Historical Fiction,The Invention of Wings,0.5880320116405966,21.0
World Without End (The Pillars of the Earth #2),32.97,1,4,https://books.toscrape.com/media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,Historical Fiction,World Without End (The Pillars of the Earth #2),0.5085485631138595,21.0
The Passion of Dolssa,28.32,1,5,https://books.toscrape.com/media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,Historical Fiction,The Passion of Dolssa,0.42397235358312113,21.0
Girl With a Pearl Earring,26.77,1,1,https://books.toscrape.com/media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,Historical Fiction,Girl With a Pearl Earring,0.3957802837395416,21.0
Voyager (Outlander #3),21.07,1,5,https://books.toscrape.com/media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,Historical Fiction,Voyager (Outlander #3),0.29210622044379775,21.0
The Red Tent,35.66,1,5,https://books.toscrape.com/media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,Historical Fiction,The Red Tent,0.5574754456165878,21.0
The Last Painting of Sara de Vos,55.55,1,2,https://books.toscrape.com/media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,Historical Fiction,The Last Painting of Sara de Vos,0.9192433612222626,21.0
The Guernsey Literary and Potato Peel Pie Society,49.53,1,1,https://books.toscrape.com/media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,0.8097489996362314,21.0
Girl in the Blue Coat,46.83,1,2,https://books.toscrape.com/media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,Historical Fiction,Girl in the Blue Coat,0.7606402328119316,21.0
Between Shades of Gray,20.79,1,5,https://books.toscrape.com/media/cache/f9/19/f919f64fc0e3642cdc604134bfd93774.jpg,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,Historical Fiction,Between Shades of Gray,0.2870134594397963,21.0
While You Were Mine,41.32,1,5,https://books.toscrape.com/media/cache/45/e8/45e87bcad554d79eadf0f89df9cac6f9.jpg,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,Historical Fiction,While You Were Mine,0.6604219716260459,21.0
The Secret Healer,34.56,1,3,https://books.toscrape.com/media/cache/69/d2/69d225899cce0a150c605ead01e02f60.jpg,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,Historical Fiction,The Secret Healer,0.5374681702437251,21.0
Starlark,25.83,1,3,https://books.toscrape.com/media/cache/b4/9e/b49e66e8f446d9a3dae488955f2aa487.jpg,https://books.toscrape.com/catalogue/starlark_56/index.html,Historical Fiction,Starlark,0.37868315751182247,21.0
Lost Among the Living,27.7,1,4,https://books.toscrape.com/media/cache/5a/40/5a40d914bc3491e5909f1167f9cb34f2.jpg,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,Historical Fiction,Lost Among the Living,0.4126955256456893,21.0
A Spy's Devotion (The Regency Spies of London #1),16.97,1,5,https://books.toscrape.com/media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),0.2175336485994907,21.0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,1,5,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),0.85994907238996,42.0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,1,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),0.20498363041105858,42.0
This One Summer,19.49,1,4,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,Sequential Art,This One Summer,0.2633684976355038,42.0
The Nameless City (The Nameless City #1),38.16,1,4,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art,The Nameless City (The Nameless City #1),0.6029465260094579,42.0
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,1,2,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",0.8372135321935249,42.0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,1,3,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",0.8255729356129501,42.0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1,5,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0.15642051655147324,42.0
"Pop Gun War, Volume 1: Gift",18.97,1,1,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,Sequential Art,"Pop Gun War, Volume 1: Gift",0.2539105129137868,42.0
Patience,10.16,1,3,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,https://books.toscrape.com/catalogue/patience_916/index.html,Sequential Art,Patience,0.09367042560931248,42.0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1,4,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",0.18970534739905417,42.0
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,1,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),0.7893779556202255,42.0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,1,2,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",0.7620953073845034,42.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,1,3,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",0.7384503455802109,42.0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,1,2,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),0.2711895234630775,42.0
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,1,2,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",0.439432520916697,42.0
I am a Hero Omnibus Volume 1,54.63,1,3,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,Sequential Art,I am a Hero Omnibus Volume 1,0.9025100036376864,42.0
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,1,2,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",0.31102218988723174,42.0
Danganronpa Volume 1,51.99,1,4,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,Sequential Art,Danganronpa Volume 1,0.8544925427428156,42.0
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,1,4,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",0.5767551837031648,42.0
Camp Midnight,17.08,1,4,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,Sequential Art,Camp Midnight,0.21953437613677695,42.0
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,1,2,https://books.toscrape.com/media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",0.5985813022917424,42.0
